Name,Director,Year,Rating,Rewatch,Tags,Watched Date
Hereditary,Ari Aster,2018,4.5,Yes,,10/9/21
His House,Remi Weekes,2020,3,,,7/17/21
Honey Boy,Alma Har'el,2019,4,,,8/20/21
Hot Fuzz,Edgar Wright,2007,,,,6/23/21
I'm Not There,Todd Haynes,2007,3.5,,,11/22/21
I'm Thinking of Ending Things,Charlie Kaufman,2020,,,,4/7/21
Ida,Pawel Pawlikowski,2013,3.5,,,8/9/21
Independence Day,Roland Emmerich,1996,,,,1/9/15
Indiana Jones and the Last Crusade,Steven Spielberg,1989,,,,6/5/15
Indiana Jones and the Temple of Doom,Steven Spielberg,1984,,,,6/3/15
Inglourious Basterds,Quentin Tarantino,2009,,,,1/12/15
Inglourious Basterds,Quentin Tarantino,2009,4,Yes,,3/27/21
Inside I'm Dancing,Damien O'Donnell,2004,3.5,,,7/16/21
Inside Llewyn Davis,"Joel Coen, Ethan Coen",2013,,,,5/18/15
Inside Llewyn Davis,"Joel Coen, Ethan Coen",2013,4.5,Yes,,6/2/21
Interstellar,Christopher Nolan,2014,,,,5/28/15
Jackie Brown,Quentin Tarantino,1997,,,,2/13/15
Jarhead,Sam Mendes,2005,,,,3/25/15
Jay and Silent Bob Strike Back,Kevin Smith,2001,,,,5/10/15
Jennifer's Body,Karyn Kusama,2009,3.5,,,10/27/21
Jojo Rabbit,Taika Waititi,2019,4,,,9/19/21
Judas and the Black Messiah,Shaka King,2021,,,,4/1/21
Juno,Jason Reitman,2007,,,,3/6/15
Kajillionaire,Miranda July,2020,4,,,6/20/21
Kill Bill: Vol. 1,Quentin Tarantino,2003,,,,1/4/15
Kill Bill: Vol. 2,Quentin Tarantino,2004,,,,1/6/15
King Richard,Reinaldo Marcus Green,2021,3.5,,,3/10/22
Knives Out,Rian Johnson,2019,4.5,,,8/22/21
Kung Fury,David Sandberg,2015,,,,10/7/16
Kwaidan,Masaki Kobayashi,1964,,,,5/18/21
L.A. Confidential,Curtis Hanson,1997,,,,6/26/15
La Haine,Mathieu Kassovitz,1995,,,,4/17/21
Lamb,Valdimar Johannsson,2021,2,,,10/21/21
Last Night in Soho,Edgar Wright,2021,3.5,,,10/28/21
Let the Right One In,Tomas Alfredson,2008,4,,,10/14/21
Licorice Pizza,Paul Thomas Anderson,2021,4,,,2/15/22
Life of Brian,Terry Jones,1979,,,,3/17/15
Light Sleeper,Paul Schrader,1992,3.5,,,8/15/21
Lincoln,Steven Spielberg,2012,,,,3/16/15
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",2006,,,,3/16/15
Little Women,Greta Gerwig,2019,,,,6/24/21
Locke,Steven Knight,2013,,,,5/17/15
Logan,James Mangold,2017,4,,,7/11/21
Lost in Translation,Sofia Coppola,2003,2.5,,,8/28/21
Love Actually,Richard Curtis,2003,,,,7/19/15
Loving Vincent,"Dorota Kobiela, Hugh Welchman",2017,,,,4/10/21
Ma Rainey's Black Bottom,George C. Wolfe,2020,,,,4/3/21
Ma Rainey's Black Bottom,George C. Wolfe,2020,,Yes,,5/17/21
Mad Max: Fury Road,George Miller,2015,,,,6/20/15
Magnolia,Paul Thomas Anderson,1999,,,,5/22/15
Magnolia,Paul Thomas Anderson,1999,5,Yes,,7/22/21
Mandy,Panos Cosmatos,2018,3.5,,,7/8/21
Mank,David Fincher,2020,,,,3/25/21
Marriage Story,Noah Baumbach,2019,,,,3/17/21
Martyrs,Pascal Laugier,2008,,,,10/11/21
Mass,Fran Kranz,2021,4.5,,,1/18/22
Meek's Cutoff,Kelly Reichardt,2010,3.5,,,8/26/21
Meeting People Is Easy,Grant Gee,1998,,,,1/10/15
Melancholia,Lars Von Trier,2011,,,,7/29/21
Memento,Christopher Nolan,2000,,,,3/1/15
Memories of Murder,Bong Joon Ho,2003,,,,4/26/21
"Men, Women & Children",Jason Reitman,2014,,,,4/6/16
Midsommar,Ari Aster,2019,4.5,,,5/12/21
Minari,Lee Isaac Chung,2020,4,,,4/3/21
Mishima: A Life in Four Chapters,Paul Schrader,1985,,,,8/2/21
Molly's Game,Aaron Sorkin,2017,,,,5/2/21
Moonrise Kingdom,Wes Anderson,2012,,,,3/28/15
Moonrise Kingdom,Wes Anderson,2012,,Yes,,3/7/16
mother!,Darren Aronofsky,2017,3.5,,,10/17/21
Mulholland Drive,David Lynch,2001,,,,4/8/21
My Left Foot: The Story of Christy Brown,Jim Sheridan,1989,,,,5/9/15
My Own Private Idaho,Gus Van Sant,1991,4,,,11/13/21
Mystic River,Clint Eastwood,2003,,,,1/24/15
Nashville,Robert Altman,1975,4.5,,,4/3/22
Never Let Me Go,Mark Romanek,2010,2.5,Yes,,11/11/21
Never Rarely Sometimes Always,Eliza Hittman,2020,4,,,5/1/21
Nightcrawler,Dan Gilroy,2014,,,,11/24/15
Nightmare Alley,Guillermo Del Toro,2021,3.5,,,2/8/22
No Country for Old Men,"Joel Coen, Ethan Coen",2007,5,,,2/22/15
No Country for Old Men,"Joel Coen, Ethan Coen",2007,5,Yes,,5/14/15
No Country for Old Men,"Joel Coen, Ethan Coen",2007,5,Yes,,3/11/21
"O Brother, Where Art Thou?","Joel Coen, Ethan Coen",2000,,,,3/20/15
Ocean's Eleven,Steven Soderbergh,2001,,,,10/10/15
Office Space,Mike Judge,1999,,,,6/13/15
On the Waterfront,Elia Kazan,1954,,,,5/14/15
Once Upon a Time in the West,Sergio Leone,1968,,,,3/9/16
One Flew Over the Cuckoo's Nest,Milos Forman,1975,,,,1/3/15
Only Lovers Left Alive,Jim Jarmusch,2013,,,,9/9/21
Parasite,Bong Joon Ho,2019,5,Yes,,4/10/21
Parasite,Bong Joon Ho,2019,5,Yes,,7/6/21
"Paris, Texas",Wim Wenders,1984,,,,7/29/16
Paul,Greg Mottola,2011,1.5,,,7/9/21
Perfect Blue,Satoshi Kon,1997,4,,,4/6/22
Phantom Thread,Paul Thomas Anderson,2017,3.5,,,9/29/21
Pieces of a Woman,Kornel Mundruczo,2020,,,,4/13/21
Pig,Michael Sarnoski,2021,4,,,7/19/21
Portrait of a Lady on Fire,Celine Sciamma,2019,,,,5/4/21
Possession,Andrzej Zulawski,1981,4,,,10/16/21
Pride & Prejudice,Joe Wright,2005,,,,7/23/21
Primal Fear,Gregory Hoblit,1996,,,,3/7/15
Promising Young Woman,Emerald Fennell,2020,,,,3/30/21
Promising Young Woman,Emerald Fennell,2020,4.5,Yes,,5/20/21
Psycho,Alfred Hitchcock,1960,,,,4/10/15
Pulp Fiction,Quentin Tarantino,1994,,,,1/5/15
Pulp Fiction,Quentin Tarantino,1994,,Yes,,2/29/16
Pulp Fiction,Quentin Tarantino,1994,,Yes,,6/6/16
Punch-Drunk Love,Paul Thomas Anderson,2002,4,,,11/16/21
Raging Bull,Martin Scorsese,1980,,,,3/8/15
Raiders of the Lost Ark,Steven Spielberg,1981,,,,5/30/15
Rain Man,Barry Levinson,1988,,,,6/19/15
Raising Arizona,"Joel Coen, Ethan Coen",1987,,,,4/3/15
Raw,Julia Ducournau,2016,4.5,,,9/13/21
Red Rocket,Sean Baker,2021,4,,,2/13/22
Redline,Takeshi Koike,2009,,,,9/7/15
Requiem for a Dream,Darren Aronofsky,2000,4,,,8/21/21
Reservoir Dogs,Quentin Tarantino,1992,,,,1/11/15
Return of the Jedi,Richard Marquand,1983,,Yes,,5/27/15
Revolutionary Road,Sam Mendes,2008,,,,5/23/15
Revolutionary Road,Sam Mendes,2008,,Yes,,4/14/16
Rogue One: A Star Wars Story,Gareth Edwards,2016,,,,1/19/18
Room,Lenny Abrahamson,2015,,,,7/15/16
Rosemary's Baby,Roman Polanski,1968,4,,,10/8/21
Rush,Ron Howard,2013,,,,6/12/21
Rushmore,Wes Anderson,1998,,,,5/19/15
Safe,Todd Haynes,1995,4,,,12/5/21
Save Ralph,Spencer Susser,2021,,,,5/31/21
Scarface,Brian De Palma,1983,,,,1/8/15
Schindler's List,Steven Spielberg,1993,,,,3/18/15
Scott Pilgrim vs. the World,Edgar Wright,2010,4.5,,,7/14/21
Scream,Wes Craven,1996,4.5,,,10/25/21
Se7en,David Fincher,1995,,,,1/14/15
Seven Psychopaths,Martin McDonagh,2012,,,,6/7/15
Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,2021,3.5,,,9/6/21
Shaun of the Dead,Edgar Wright,2004,4.5,,,6/17/21
Shirley,Josephine Decker,2020,,,,6/1/21
Short Term 12,Destin Daniel Cretton,2013,5,,,7/18/21
Shutter Island,Martin Scorsese,2010,,,,4/4/15
Sicario,Denis Villeneuve,2015,,,,6/8/16
Silver Linings Playbook,David O. Russell,2012,,,,7/6/15
Sixteen Candles,John Hughes,1984,,,,5/29/15
Sky High,Mike Mitchell,2005,3,,,11/3/21
Skyfall,Sam Mendes,2012,,,,5/11/15
Slumdog Millionaire,Danny Boyle,2008,,,,4/25/15
Snowpiercer,Bong Joon Ho,2013,,,,4/23/21
Sorry to Bother You,Boots Riley,2018,4,,,4/29/21
Sound of Metal,Darius Marder,2019,4.5,,,3/15/21
Sound of Metal,Darius Marder,2019,4.5,Yes,,4/27/21
Spencer,Pablo Larrain,2021,4.5,,,11/14/21
Spencer,Pablo Larrain,2021,4.5,Yes,,4/2/22
Spider-Man: Homecoming,Jon Watts,2017,2.5,,,8/17/21
Spider-Man: Into the Spider-Verse,"Rodney Rothman, Peter Ramsey, Bob Persichetti",2018,,,,4/2/21
Spider-Man: No Way Home,Jon Watts,2021,4,,,12/27/21
Spirited Away,Hayao Miyazaki,2001,,,,3/28/16
Spotlight,Tom McCarthy,2015,,,,1/15/16
Stalker,Andrei Tarkovsky,1979,,,,5/27/21
Star Wars,George Lucas,1977,,Yes,,5/25/15
Star Wars: The Force Awakens,JJ Abrams,2015,,,,12/18/15
Straight Outta Compton,F. Gary Gray,2015,,,,4/9/16
Sturgill Simpson Presents Sound & Fury,Jumpei Mizusaki,2019,,,,9/29/19
Superbad,Greg Mottola,2007,,,,3/18/15
Suspiria,Dario Argento,1977,,,,5/28/21
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,2007,,,,3/15/15
Swiss Army Man,"Daniel Scheinert, Daniel Kwan",2016,3.5,,,5/24/21
Syndromes and a Century,Apichatpong Weerasethakul,2006,,,,5/4/21
"Synecdoche, New York",Charlie Kaufman,2008,4,,,2/21/22
Tape,Richard Linklater,2001,,,,3/1/15
Taxi Driver,Martin Scorsese,1976,,,,1/7/15
Taxi Driver,Martin Scorsese,1976,,Yes,,3/21/16
The Act of Killing,Joshua Oppenheimer,2012,,,,3/28/21
The Age of Innocence,Martin Scorsese,1993,,,,6/8/15
The Aviator,Martin Scorsese,2004,,,,7/10/15
The Batman,Matt Reeves,2022,4,,,3/7/22
The Big Lebowski,"Joel Coen, Ethan Coen",1998,,,,1/5/15
